Year,Latitude,Longitude,Region_Type,Area_Name,Entanglement_Bycatch,Boat_Strikes,Other_Causes,Total_Deaths,GiZScore,Port_Distance_km,Density_Value,Risk_Score
2000,21.8256,89.5547,Sundarbans Core,Sundarbans West,1,1,1,3,-1.85,23.45,0.05,0.24
2001,21.8221,89.5498,Sundarbans Core,Sundarbans West,0,1,0,1,-2.10,22.87,0.04,0.20
2003,22.0869,89.6864,Sundarbans Core,Baleswar River,2,0,0,2,-1.20,19.34,0.07,0.31
2004,22.0834,89.6821,Sundarbans Core,Baleswar River,1,0,0,1,-1.45,19.56,0.06,0.27
2005,21.7492,89.3487,Sundarbans Core,Sundarbans South,0,2,1,3,-1.30,24.78,0.05,0.25
2007,22.4431,89.5539,Sundarbans Core,Dhangmari,2,1,0,3,-0.80,16.89,0.09,0.38
2008,22.4418,89.5503,Sundarbans Core,Dhangmari,1,1,0,2,-0.95,17.23,0.08,0.34
2009,22.1718,89.4215,Sundarbans Core,Supati Lake,2,1,0,3,-1.10,20.67,0.07,0.33
2010,22.4412,89.5515,Sundarbans Core,Dhangmari,1,1,0,2,-0.75,16.78,0.09,0.39
2011,22.1718,89.4215,Sundarbans Core,Supati Lake,1,1,0,2,-1.00,20.89,0.08,0.35
2012,21.8039,89.4703,Sundarbans Core,Hiron Point,1,2,0,3,-0.60,22.34,0.08,0.36
2013,21.8039,89.4703,Sundarbans Core,Hiron Point,1,1,0,2,-0.85,22.56,0.07,0.32
2014,22.0875,89.6858,Sundarbans Core,Baleswar River,2,1,0,3,-0.40,18.89,0.10,0.42
2015,22.2239,89.5239,Sundarbans Core,Kachikhali,1,2,0,3,-0.30,17.56,0.11,0.44
2016,22.2939,89.5839,Sundarbans Core,Jamtala,1,2,0,3,-0.20,16.45,0.12,0.46
2017,22.5039,89.6039,Sundarbans Core,Karamjal,2,2,4,8,-0.10,15.23,0.14,0.52
2018,22.5039,89.6039,Sundarbans Core,Karamjal,1,1,0,2,-0.25,15.45,0.13,0.48
2019,22.1869,90.7536,Coastal Area,Sonarchar,14,1,0,15,0.85,14.56,0.18,0.68
2019,21.4567,91.9567,Chittagong Coast,Cox's Bazar,1,0,0,1,-0.50,38.67,0.05,0.28
2020,21.82,90.12,Coastal Area,Kuakata Coast,18,0,0,18,1.90,18.34,0.20,0.72
2020,21.4632,91.9489,Chittagong Coast,Cox's Bazar,1,0,0,1,-0.55,39.12,0.04,0.25
2020,22.3256,91.8234,Chittagong Coast,Sandwip,5,0,0,5,0.10,35.67,0.08,0.38
2020,20.8567,92.3015,Chittagong Coast,St. Martin's,5,0,0,5,-0.15,57.08,0.04,0.22
2021,21.82,90.12,Coastal Area,Kuakata Coast,24,0,0,24,2.21,17.89,0.25,0.87
2021,21.4589,91.9523,Chittagong Coast,Cox's Bazar,1,1,0,2,-0.45,38.23,0.06,0.30
2022,21.82,90.12,Coastal Area,Kuakata Coast,8,0,0,8,0.45,18.12,0.22,0.65
2022,21.4552,91.9548,Chittagong Coast,Cox's Bazar,1,0,0,1,-0.60,38.89,0.05,0.26
2023,21.82,90.12,Coastal Area,Kuakata Coast,15,0,0,15,1.00,17.34,0.23,0.75
2024,21.82,90.12,Coastal Area,Kuakata Coast,10,0,0,10,0.80,17.56,0.21,0.70
