Year,Latitude,Longitude,Region_Type,Area_Name,Entanglement_Bycatch,Boat_Strikes,Other_Causes,Total_Deaths,GiZScore,Port_Distance_km,Density_Value,Risk_GiZScore,Risk_PortDistance,Risk_Density,Risk_Score,Priority_Level,Priority_Code
2000,21.8256,89.5547,Sundarbans Core,Sundarbans West,1,1,1,3,-1.85,23.45,0.05,0.1644,0.7064,0.0909,0.3101,MODERATE,1
2001,21.8221,89.5498,Sundarbans Core,Sundarbans West,0,1,0,1,-2.10,22.87,0.04,0.1013,0.7336,0.0455,0.2795,MODERATE,1
2003,22.0869,89.6864,Sundarbans Core,Baleswar River,2,0,0,2,-1.20,19.34,0.07,0.3567,0.8073,0.1818,0.4457,MODERATE,1
2004,22.0834,89.6821,Sundarbans Core,Baleswar River,1,0,0,1,-1.45,19.56,0.06,0.3006,0.8003,0.1364,0.4059,MODERATE,1
2005,21.7492,89.3487,Sundarbans Core,Sundarbans South,0,2,1,3,-1.30,24.78,0.05,0.3333,0.6828,0.0909,0.3582,MODERATE,1
2007,22.4431,89.5539,Sundarbans Core,Dhangmari,2,1,0,3,-0.80,16.89,0.09,0.4768,0.8564,0.2727,0.5281,HIGH,2
2008,22.4418,89.5503,Sundarbans Core,Dhangmari,1,1,0,2,-0.95,17.23,0.08,0.4381,0.8471,0.2273,0.5009,HIGH,2
2009,22.1718,89.4215,Sundarbans Core,Supati Lake,2,1,0,3,-1.10,20.67,0.07,0.3899,0.7752,0.1818,0.4515,MODERATE,1
2010,22.4412,89.5515,Sundarbans Core,Dhangmari,1,1,0,2,-0.75,16.78,0.09,0.4970,0.8586,0.2727,0.5489,HIGH,2
2011,22.1718,89.4215,Sundarbans Core,Supati Lake,1,1,0,2,-1.00,20.89,0.08,0.4261,0.7699,0.2273,0.4783,MODERATE,1
2012,21.8039,89.4703,Sundarbans Core,Hiron Point,1,2,0,3,-0.60,22.34,0.08,0.5319,0.7289,0.2273,0.5031,HIGH,2
2013,21.8039,89.4703,Sundarbans Core,Hiron Point,1,1,0,2,-0.85,22.56,0.07,0.4768,0.7225,0.1818,0.4654,MODERATE,1
2014,22.0875,89.6858,Sundarbans Core,Baleswar River,2,1,0,3,-0.40,18.89,0.10,0.5773,0.8170,0.3182,0.5734,HIGH,2
2015,22.2239,89.5239,Sundarbans Core,Kachikhali,1,2,0,3,-0.30,17.56,0.11,0.6015,0.8393,0.3636,0.6072,HIGH,2
2016,22.2939,89.5839,Sundarbans Core,Jamtala,1,2,0,3,-0.20,16.45,0.12,0.6258,0.8615,0.4091,0.6374,HIGH,2
2017,22.5039,89.6039,Sundarbans Core,Karamjal,2,2,4,8,-0.10,15.23,0.14,0.6501,0.8854,0.5000,0.6860,HIGH,2
2018,22.5039,89.6039,Sundarbans Core,Karamjal,1,1,0,2,-0.25,15.45,0.13,0.6136,0.8810,0.4545,0.6577,HIGH,2
2019,22.1869,90.7536,Coastal Area,Sonarchar,14,1,0,15,0.85,14.56,0.18,0.8325,0.9067,0.6818,0.8082,CRITICAL,3
2019,21.4567,91.9567,Chittagong Coast,Cox's Bazar,1,0,0,1,-0.50,38.67,0.05,0.5518,0.4906,0.0909,0.3784,MODERATE,1
2020,21.82,90.12,Coastal Area,Kuakata Coast,18,0,0,18,1.90,18.34,0.20,1.0000,0.8322,0.7727,0.8706,CRITICAL,3
2020,21.4632,91.9489,Chittagong Coast,Cox's Bazar,1,0,0,1,-0.55,39.12,0.04,0.5368,0.4840,0.0455,0.3545,MODERATE,1
2020,22.3256,91.8234,Chittagong Coast,Sandwip,5,0,0,5,0.10,35.67,0.08,0.6864,0.5394,0.2273,0.4989,MODERATE,1
2020,20.8567,92.3015,Chittagong Coast,St. Martin's,5,0,0,5,-0.15,57.08,0.04,0.6378,0.1926,0.0455,0.2979,MODERATE,1
2021,21.82,90.12,Coastal Area,Kuakata Coast,24,0,0,24,2.21,17.89,0.25,1.0000,0.8351,1.0000,0.9462,CRITICAL,3
2021,21.4589,91.9523,Chittagong Coast,Cox's Bazar,1,1,0,2,-0.45,38.23,0.06,0.5669,0.4975,0.1364,0.4038,MODERATE,1
2022,21.82,90.12,Coastal Area,Kuakata Coast,8,0,0,8,0.45,18.12,0.22,0.7389,0.8369,0.8636,0.8143,CRITICAL,3
2022,21.4552,91.9548,Chittagong Coast,Cox's Bazar,1,0,0,1,-0.60,38.89,0.05,0.5319,0.4885,0.0909,0.3742,MODERATE,1
2023,21.82,90.12,Coastal Area,Kuakata Coast,15,0,0,15,1.00,17.34,0.23,0.8684,0.8500,0.9091,0.8836,CRITICAL,3
2024,21.82,90.12,Coastal Area,Kuakata Coast,10,0,0,10,0.80,17.56,0.21,0.8104,0.8432,0.8182,0.8262,CRITICAL,3
