Latitude,Longitude,Area_Name,Region_Type,Total_Deaths,Event_Count,Rank
21.82,90.12,Kuakata Coast,Coastal Area,99,6,1
22.1869,90.7536,Sonarchar,Coastal Area,15,1,2
22.5039,89.6039,Karamjal,Sundarbans Core,10,2,3
22.4412,89.5515,Dhangmari,Sundarbans Core,7,3,4
22.0875,89.6858,Baleswar River,Sundarbans Core,6,2,5
21.8039,89.4703,Hiron Point,Sundarbans Core,5,2,6
22.1718,89.4215,Supati Lake,Sundarbans Core,5,2,7
22.3256,91.8234,Sandwip,Chittagong Coast,5,1,8
20.8567,92.3015,St. Martin's,Chittagong Coast,5,1,9
21.8256,89.5547,Sundarbans West,Sundarbans Core,4,2,10
